timestamp,symbol,action,shares,weight,price,gross,commission,slippage,total_cost,net_cash_delta,reason
2024-01-01T00:00:00+00:00,GOOGL,sell,3.0000,0.004030,137.3463,412.04,0.41,0.21,0.62,411.42,Decreasing weight from 0.40% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,MSFT,sell,5.0000,0.017615,366.7074,1833.54,1.83,0.92,2.75,1830.79,Decreasing weight from 1.76% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,AAPL,sell,10.0000,0.018096,184.2904,1842.90,1.84,0.92,2.76,1840.14,Decreasing weight from 1.81% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,sell,1.0000,0.000462,48.1466,48.15,0.05,0.02,0.07,48.07,Decreasing weight from 0.05% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,sell,2.0000,0.004748,248.4200,496.84,0.50,0.25,0.75,496.09,Decreasing weight from 0.47% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,GOOGL,buy,202.6024,0.333333,172.1376,34875.51,34.88,17.44,52.31,-34927.82,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,QQQ,buy,77.5232,0.333333,449.8719,34875.51,34.88,17.44,52.31,-34927.82,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,GOOGL,sell,110.3272,0.185322,184.9242,20402.17,20.40,10.20,30.60,20371.56,Decreasing weight from 51.87% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,QQQ,sell,77.5232,0.343839,488.2841,37853.35,37.85,18.93,56.78,37796.57,Decreasing weight from 34.38% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,buy,286.1582,0.333333,128.2395,36696.77,36.70,18.35,55.05,-36751.82,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,buy,148.9378,0.333333,246.3900,36696.77,36.70,18.35,55.05,-36751.82,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,GOOGL,sell,92.2753,0.440545,165.8566,15304.46,15.30,7.65,22.96,15281.50,Decreasing weight from 44.05% to 0.00% based on momentum.
2024-01-01T00:00:00+00:00,AAPL,buy,146.7705,0.333333,218.8366,32118.74,32.12,16.06,48.18,-32166.92,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,sell,121.9235,0.135690,107.2361,13074.60,13.07,6.54,19.61,13054.99,Decreasing weight from 46.90% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,buy,5.7246,0.012338,207.6700,1188.84,1.19,0.59,1.78,-1190.62,Increasing weight from 32.10% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,AAPL,sell,146.7705,0.359952,221.9897,32581.53,32.58,16.29,48.87,32532.65,Decreasing weight from 69.33% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,buy,53.5220,0.059389,107.9659,5778.55,5.78,2.89,8.67,-5787.21,Increasing weight from 27.39% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,sell,0.6588,0.001426,210.6000,138.74,0.14,0.07,0.21,138.53,Decreasing weight from 33.48% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,AAPL,buy,155.7961,0.333333,224.8795,35035.35,35.04,17.52,52.55,-35087.90,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,sell,51.1123,0.059727,122.8217,6277.71,6.28,3.14,9.42,6268.29,Decreasing weight from 39.31% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,sell,8.4234,0.019287,240.6600,2027.16,2.03,1.01,3.04,2024.12,Decreasing weight from 35.26% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,AAPL,sell,155.7961,0.370509,221.2323,34467.13,34.47,17.23,51.70,34415.43,Decreasing weight from 70.38% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,buy,13.3096,0.016921,136.0187,1810.36,1.81,0.91,2.72,-1813.07,Increasing weight from 31.64% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,buy,1.2783,0.002901,242.8400,310.41,0.31,0.16,0.47,-310.88,Increasing weight from 33.04% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,QQQ,buy,80.2679,0.333333,521.0545,41823.95,41.82,20.91,62.74,-41886.69,Increasing weight from 0.00% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,NVDA,sell,21.4697,0.024829,145.1066,3115.40,3.12,1.56,4.67,3110.72,Decreasing weight from 35.82% to 33.33% based on momentum.
2024-01-01T00:00:00+00:00,TSLA,sell,30.0090,0.085606,357.9300,10741.13,10.74,5.37,16.11,10725.01,Decreasing weight from 41.89% to 33.33% based on momentum.
